scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,risk_adjusted_return,expense_efficiency,return_consistency,sip_type,returns_3yr_score,returns_5yr_score,sharpe_score,alpha_score,expense_ratio_score,beta_score,return_score,alpha_beta_score,final_score,rank
Aditya Birla Sl Active Debt Multi-Mgr Fof-Dir Growth,100,100,0.27,10.0,10,Kaustubh Gupta,0.32,2.24,9.39,0.01,0.24,3,Aditya Birla Sun Life Mutual Fund,3,Other,Fofs Domestic,4.0,6.5,6.9,2.1666666666666665,6.23,5.8,Affordable SIP,0.046989720998531576,0.40293040293040294,0.24423963133640553,0.3842364532019705,0.8957528957528957,0.13631436314363143,0.22496006196446727,0.2850676171786348,0.4055303175680872,510.0
Aditya Birla Sl Arbitrage Fund,1000,1000,0.36,4288.0,10,Lovelish Solanki,1.33,1.53,0.72,0.56,1.1,1,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.8,5.5,4.8,4.4399999999999995,5.3,High SIP,0.02202643171806168,0.3516483516483516,0.44239631336405527,0.36674876847290644,0.8610038610038611,0.1214092140921409,0.18683739168320665,0.2686129467206002,0.4187571266051491,462.0
Aditya Birla Sl Asset Allocator Fof-Dir Growth,1000,1000,0.53,157.0,10,Vinod Narayan Bhat,3.44,2.67,10.58,0.67,1.42,5,Aditya Birla Sun Life Mutual Fund,3,Other,Fofs Domestic,2.0,18.9,9.7,3.78,18.369999999999997,10.2,High SIP,0.22907488986784136,0.5054945054945055,0.5161290322580645,0.3948275862068966,0.7953667953667953,0.11842818428184287,0.36728469768117344,0.2842678254368751,0.49162155818131237,177.0
Aditya Birla Sl Balanced Advantage Fund,100,100,0.61,6386.0,10,Mohit Sharma,3.69,1.99,10.38,0.68,1.39,6,Aditya Birla Sun Life Mutual Fund,4,Hybrid,Dynamic Asset Allocation Or Balanced Advantage,4.5,18.6,9.7,3.1,17.990000000000002,10.933333333333332,Affordable SIP,0.22466960352422904,0.5054945054945055,0.5092165898617511,0.3780788177339902,0.7644787644787645,0.11815718157181576,0.36508205450936726,0.2741101632691204,0.4801123553861564,225.0
Aditya Birla Sl Banking&Financial Services-Dirgrowth,1000,1000,1.17,2384.0,9,Dhaval Gala,2.07,1.24,25.53,0.96,0.97,6,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,5.3,24.6,9.2,4.1000000000000005,23.43,13.033333333333333,High SIP,0.31277533039647576,0.4871794871794871,0.41244239631336405,0.3596059113300493,0.5482625482625483,0.11056910569105693,0.39997740878798144,0.25999118907445234,0.4185437582046703,464.0
Aditya Birla Sl Banking&Psu Debt Fund,1000,1000,0.37,7994.0,10,Kaustubh Gupta,1.92,4.46,1.91,1.78,1.09,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Banking And Psu Mutual Funds,4.5,6.8,7.3,2.2666666666666666,6.43,6.2,High SIP,0.0513950073421439,0.41758241758241754,0.44009216589861755,0.4389162561576355,0.8571428571428572,0.08834688346883468,0.23448871246228073,0.2986885070821152,0.4409029085126674,363.0
Aditya Birla Sl Cef – Global Agri Plan-Direct Growth,1000,1000,1.29,15.0,10,Vinod Narayan Bhat,1.42,2.0,20.18,0.865,1.06,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-10.3,29.4,9.3,4.8999999999999995,28.11,9.466666666666667,High SIP,0.38325991189427305,0.4908424908424909,0.43317972350230416,0.3783251231527094,0.5019305019305019,0.11314363143631434,0.43705120136838194,0.2722525264661514,0.42777692970036174,428.0
Aditya Birla Sl Corporate Bond Fund,100,100,0.31,12120.0,10,Kaustubh Gupta,2.28,2.38,1.93,0.78,1.35,2,Aditya Birla Sun Life Mutual Fund,4,Debt,Corporate Bond Mutual Funds,4.9,7.1,7.4,3.55,6.79,6.466666666666666,Affordable SIP,0.05580029368575623,0.4212454212454213,0.5,0.38768472906403945,0.8803088803088803,0.11544715447154474,0.23852285746558877,0.27878969922704155,0.45730481794751177,292.0
Aditya Birla Sl Credit Risk Fund,100,100,0.69,1032.0,8,Sunaina Da Cunha,1.82,3.01,2.9,-0.95,1.47,4,Aditya Birla Sun Life Mutual Fund,4,Debt,Credit Risk Funds,8.7,9.0,7.2,2.25,8.31,8.299999999999999,Affordable SIP,0.08370044052863435,0.4139194139194139,0.5276497695852534,0.4032019704433498,0.7335907335907337,0.16233062330623305,0.24880992722402412,0.3068534315885031,0.4344796229426192,391.0
Aditya Birla Sl Digital India Fund,100,1000,0.88,3338.0,10,Kunal Sangoi,2.42,9.37,21.12,0.83,1.53,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-14.6,39.8,21.1,6.633333333333333,38.919999999999995,15.433333333333332,Affordable SIP,0.5359765051395007,0.9230769230769232,0.5414746543778802,0.5598522167487685,0.6602316602316602,0.11409214092140918,0.729526714108212,0.3815481864178248,0.6223957595394496,18.0
Aditya Birla Sl Dividend Yield Fund,1000,1000,1.73,850.0,10,Dhaval Gala,3.78,5.04,15.77,0.85,1.58,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Dividend Yield Funds,6.2,30.5,10.0,5.083333333333333,28.77,15.566666666666668,High SIP,0.3994126284875183,0.5164835164835165,0.5529953917050692,0.4532019704433498,0.33204633204633205,0.11355013550135507,0.4579480724855174,0.3173412364665519,0.4243910758167866,438.0
Aditya Birla Sl Dynamic Bond Fund,1000,1000,0.64,1795.0,10,Mohit Sharma,1.78,3.02,3.22,0.91,1.02,3,Aditya Birla Sun Life Mutual Fund,5,Debt,Dynamic Bond,7.5,8.0,6.0,2.6666666666666665,7.36,7.166666666666667,High SIP,0.06901615271659324,0.36996336996337,0.423963133640553,0.403448275862069,0.752895752895753,0.11192411924119239,0.2194897613399816,0.28683861321371834,0.4038382614700992,515.0
Aditya Birla Sl Equity Advantage Fund,1000,1000,1.14,4836.0,10,Atul Penkar,2.21,-2.06,17.61,0.98,1.16,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Large & Mid Cap Funds,-9.9,22.3,7.9,3.716666666666667,21.16,6.766666666666667,High SIP,0.27900146842878115,0.43956043956043955,0.45622119815668205,0.2783251231527094,0.5598455598455598,0.11002710027100271,0.35928095399461035,0.21100591400002672,0.4065688982905746,505.0
Aditya Birla Sl Equity Hybrid ’95 Fund,100,100,1.01,7046.0,10,Mahesh Patil,2.54,1.43,12.84,0.85,1.33,6,Aditya Birla Sun Life Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-5.7,20.4,7.7,3.4,19.389999999999997,7.466666666666666,Affordable SIP,0.25110132158590304,0.43223443223443225,0.49539170506912444,0.3642857142857143,0.61003861003861,0.11355013550135507,0.34166787691016764,0.2639914827719706,0.4278538667033401,427.0
Aditya Birla Sl Equity Savings Fund,1000,1000,1.21,451.0,8,Dhaval Shah,2.55,1.11,6.83,0.99,1.2,4,Aditya Birla Sun Life Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,0.8,11.7,6.9,2.925,10.489999999999998,6.466666666666666,High SIP,0.12334801762114536,0.40293040293040294,0.46543778801843316,0.3564039408866995,0.5328185328185329,0.1097560975609756,0.26313921027577414,0.25774480355640994,0.37020959545209103,591.0
Aditya Birla Sl Flexi Cap Fund,100,100,0.86,15449.0,10,Anil Shah,3.4,-1.46,16.6,0.96,1.27,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Flexi Cap Funds,-2.1,25.0,10.4,4.166666666666667,24.14,11.1,Affordable SIP,0.3186490455212922,0.5311355311355311,0.48156682027649766,0.2931034482758621,0.667953667953668,0.11056910569105693,0.42489228832841164,0.22008971124194004,0.4662721530613722,263.0
Aditya Birla Sl Floating Rate Fund,1000,1000,0.23,12364.0,10,Kaustubh Gupta,2.81,3.73,1.14,1.37,1.66,2,Aditya Birla Sun Life Mutual Fund,5,Debt,Floater Mutual Funds,5.8,6.4,6.8,3.2,6.17,6.333333333333333,High SIP,0.045521292217327466,0.3992673992673993,0.5714285714285714,0.42093596059113303,0.9111969111969112,0.09945799457994586,0.2223943457423634,0.29234477418665816,0.47489439650988613,242.0
